-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,35,NULL,1,1,1,1,1,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,15150,15150,18814,8150,8150,NULL,1231,1231,0,530,530,0,701,701,0,9,60,31,0,2263,1724,Adirondack Community College,"Queensbury, NY",NULL,3664,822
2,57,9,567,86,423,540,442,NULL,NULL,578,19,26,18,26,19,26,NULL,NULL,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,-2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,180,1,180,1,180,1,180,1,0,0,1,1,1,1,2,1,1650,1,18,4226,4570,NULL,387,40499,36503,36503,36503,31703,31703,40499,37,37,0,26,26,0,11,11,0,1,97,2,0,1761,46,Adrian College,"Adrian, MI",40499,28606,568
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,100,NULL,1,1,2,2,2,2,NULL,3,NULL,NULL,NULL,NULL,149,NULL,24980,24980,24980,16400,16400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,787,0,Advanced Technology Institute,"Virginia Beach, VA",NULL,12600,179
2,74,78,63,66,403,480,380,NULL,NULL,478,16,20,15,20,16,19,NULL,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,3,20,100,1,1,1,1,2,1,184,3,NULL,3500,NULL,NULL,16,23274,29000,29000,29000,17730,17730,23274,1718,1641,77,267,190,77,1451,1451,0,4,32,64,0,689,1982,Adventist University of Health Sciences,"Orlando, FL",23274,10200,96
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,360,2,-2,2,-2,1,35,NULL,1,1,1,1,2,1,781,1,21,4910,5320,NULL,0,45691,37961,37961,37961,35461,35461,45691,45,45,0,39,39,0,6,6,0,2,93,5,0,869,16,Agnes Scott College,"Decatur, GA",45691,33246,214
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,2,50,50,1,1,1,1,2,1,184,3,NULL,9099,NULL,NULL,143,33611,31304,31304,31304,28577,28577,33611,1207,1143,64,749,692,57,458,451,7,1,65,34,0,2562,955,AI Miami International University of Art and Design,"Miami, FL",33611,17604,491
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,321,2,-2,2,-2,2,0,NULL,1,1,1,1,2,1,338,3,NULL,4014,NULL,NULL,77,22527,24678,24678,24678,18645,18645,22527,326,326,0,128,128,0,198,198,0,0,64,36,0,610,295,AIB College of Business,"Des Moines, IA",22527,13800,145
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,0,NULL,1,1,1,1,1,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,10367,10712,16610,10067,10412,NULL,1208,1208,0,393,393,0,815,815,0,3,55,42,0,1223,1682,Aiken Technical College,"Graniteville, SC",NULL,3972,651
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,NULL,NULL,1,1,1,1,1,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,17117,18038,25706,8261,9182,NULL,2086,2086,0,810,810,0,1276,1276,0,6,51,42,0,2161,2822,Aims Community College,"Greeley, CO",NULL,2538,443
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,0,NULL,1,1,1,1,2,2,NULL,3,NULL,NULL,NULL,NULL,7,NULL,26565,26565,26565,15265,15265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,286,137,Akron Institute of Herzing University,"Akron, OH",NULL,10665,69
2,113,11,820,80,370,455,370,NULL,NULL,460,16,19,14,19,15,18,NULL,NULL,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,1,30,45,1,1,1,1,1,1,448,1,21,7346,2773,NULL,513,24668,19076,19076,24668,10282,10282,19076,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4208,645,Alabama A & M University,"Normal, AL",19076,5592,968
